step,t,max_u,plate_disp
168,1.05000000e+00,1.6666625969864474e-01,6.2294579848241230e-02
169,1.05625000e+00,1.6666625969864679e-01,6.2694379195116570e-02
170,1.06250000e+00,1.6666625969864454e-01,6.3094296413480647e-02
171,1.06875000e+00,1.6666625969864704e-01,6.3494337750566857e-02
172,1.07500000e+00,1.6666625969864465e-01,6.3894504534167076e-02
173,1.08125000e+00,1.6666625969864679e-01,6.4294794581504125e-02
174,1.08750000e+00,1.6666625969864529e-01,6.4695202305670260e-02
175,1.09375000e+00,1.6666625969864651e-01,6.5095737849699006e-02
176,1.10000000e+00,1.6666625969864562e-01,6.5496377195254585e-02
177,1.10625000e+00,1.6666625969864676e-01,6.5897145248247857e-02
178,1.11250000e+00,1.6666625969864537e-01,6.6298020216715950e-02
179,1.11875000e+00,1.6666625969864746e-01,6.6699036786042123e-02
180,1.12500000e+00,1.6666625969864532e-01,6.7100162034924762e-02
181,1.13125000e+00,1.6666625969864743e-01,6.7501410592393271e-02
182,1.13750000e+00,1.6666625969864568e-01,6.7902789452421633e-02
183,1.14375000e+00,1.6666625969864732e-01,6.8304295601436874e-02
184,1.15000000e+00,1.6666625969864513e-01,6.8705903153102668e-02
185,1.15625000e+00,1.6666625969864754e-01,6.9107647922673557e-02
186,1.16250000e+00,1.6666625969864551e-01,6.9509530868444719e-02
187,1.16875000e+00,1.6666625969864746e-01,6.9911508541911194e-02
188,1.17500000e+00,1.6666625969864579e-01,7.0313643433321971e-02
189,1.18125000e+00,1.6666625969864701e-01,7.0715890634772835e-02
190,1.18750000e+00,1.6666625969864596e-01,7.1118260273875716e-02
191,1.19375000e+00,1.6666625969864743e-01,7.1520745896747590e-02
192,1.20000000e+00,1.6666625969864660e-01,7.1923356475717098e-02
193,1.20625000e+00,1.6666625969864754e-01,7.2326065621244953e-02
194,1.21250000e+00,1.6666625969864654e-01,7.2728937075826727e-02
195,1.21875000e+00,1.6666625969864779e-01,7.3131921480914963e-02
196,1.22500000e+00,1.6666625969864679e-01,7.3535045190392417e-02
197,1.23125000e+00,1.6666625969864782e-01,7.3938285644568350e-02
198,1.23750000e+00,1.6666625969864676e-01,7.4341663544396364e-02
199,1.24375000e+00,1.6666625969864779e-01,7.4745155934427904e-02
200,1.25000000e+00,1.6666625969864704e-01,7.5148792935260722e-02
201,1.25625000e+00,1.6666625969864776e-01,7.5552533415985668e-02
202,1.26250000e+00,1.6666625969864723e-01,7.5956418871662212e-02
203,1.26875000e+00,1.6666625969864807e-01,7.6360421856309882e-02
204,1.27500000e+00,1.6666625969864760e-01,7.6764580545641808e-02
