t,u_L2,p_L2,solid_force_L2,volume,inlet_scale,tip_dx,tip_dy,cyl_dx,cyl_dy,max_u,umax_x,umax_y,elapsed_s
9.60000000e-01,9.0015548721e+07,4.8875266359e+12,2.2536809398e+05,1.4844181264e+02,9.3720948047e+01,1.2399414528e-02,-4.1481454276e-02,3.0193894742e-03,4.1805879798e-05,2.0655019259e+02,18.0000,27.5000,3237.769
9.70000000e-01,9.3139739440e+07,4.8997609661e+12,2.2536903824e+05,1.4844189612e+02,9.5289354929e+01,1.2340362567e-02,-4.1303976488e-02,3.0710197055e-03,4.4152048856e-05,2.1040950000e+02,18.0000,27.5000,3267.631
9.80000000e-01,9.6323057193e+07,4.9094552583e+12,2.2537007200e+05,1.4844197649e+02,9.6858924092e+01,1.2269084240e-02,-4.1075812221e-02,3.1228750543e-03,4.6498292698e-05,2.1426126564e+02,18.0000,27.5000,3301.280
9.90000000e-01,9.9565042398e+07,4.9166114184e+12,2.2537120205e+05,1.4844205395e+02,9.8429268269e+01,1.2185642524e-02,-4.0794755588e-02,3.1749558454e-03,4.8832541272e-05,2.1810462715e+02,18.0000,27.5000,3336.770
1.00000000e+00,1.0286518540e+08,4.9212351631e+12,2.2537243554e+05,1.4844212868e+02,1.0000000000e+02,1.2090128713e-02,-4.0457916501e-02,3.2272629256e-03,5.1142533380e-05,2.2193874201e+02,18.0000,27.5000,3376.117
1.01000000e+00,1.0622292614e+08,4.9233357471e+12,2.2537377985e+05,1.4844220088e+02,1.0157073173e+02,1.1982637950e-02,-4.0061404975e-02,3.2797968242e-03,5.3415858231e-05,2.2576278346e+02,18.0000,27.5000,3405.825
1.02000000e+00,1.0963765371e+08,4.9229256077e+12,2.2537524244e+05,1.4844227069e+02,1.0314107591e+02,1.1863239093e-02,-3.9599960134e-02,3.3325565147e-03,5.5640126827e-05,2.2957593739e+02,18.0000,27.5000,3445.557
1.03000000e+00,1.1310870588e+08,4.9200200936e+12,2.2537683072e+05,1.4844233819e+02,1.0471064507e+02,1.1731949260e-02,-3.9066560233e-02,3.3855384535e-03,5.7803306337e-05,2.3337740067e+02,18.0000,27.5000,3478.608
1.04000000e+00,1.1663536849e+08,4.9146372567e+12,2.2537855185e+05,1.4844240338e+02,1.0627905195e+02,1.1588713214e-02,-3.8452083525e-02,3.4387355928e-03,5.9893907061e-05,2.3716638077e+02,18.0000,27.5000,3511.960
1.05000000e+00,1.2021687491e+08,4.9067980141e+12,2.2538041259e+05,1.4844246620e+02,1.0784590957e+02,1.1433408788e-02,-3.7745114092e-02,3.4921375012e-03,6.1900786392e-05,2.4100858649e+02,17.5000,27.0000,3552.062
1.06000000e+00,1.2385240576e+08,4.8965267469e+12,2.2538241927e+05,1.4844252652e+02,1.0941083133e+02,1.1265888818e-02,-3.6932020707e-02,3.5457319824e-03,6.3812628467e-05,2.4488526277e+02,17.5000,27.0000,3587.828
1.07000000e+00,1.2754108903e+08,4.8838523579e+12,2.2538457761e+05,1.4844258427e+02,1.1097343111e+02,1.1086060017e-02,-3.5997387567e-02,3.5995081619e-03,6.5616586215e-05,2.4874643775e+02,17.5000,27.0000,3629.318
